encoding,path,title
iso-8859-1,/intldetails/1994o.html,International Matches 1994 - Oceania
iso-8859-1,/intldetails/1994oth.html,International Matches 1994 - Other
iso-8859-1,/intldetails/1994sa.html,International Matches 1994 - South America
iso-8859-1,/intldetails/1995af.html,International Matches 1995 - Africa
iso-8859-1,/intldetails/1995as.html,International Matches 1995 - Asia
iso-8859-1,/intldetails/1995e1.html,"International Matches 1995 - Europe, January-March"
iso-8859-1,/intldetails/1995e2.html,"International Matches 1995 - Europe, April-June"
iso-8859-1,/intldetails/1995e3.html,"International Matches 1995 - Europe, July-September"
iso-8859-1,/intldetails/1995e4.html,"International Matches 1995 - Europe, October-December"
iso-8859-1,/intldetails/1995ic1.html,"International Matches 1995 - Intercontinental, January-March"
iso-8859-1,/intldetails/1995ic2.html,"International Matches 1995 - Intercontinental, April-June"
iso-8859-1,/intldetails/1995ic3.html,"International Matches 1995 - Intercontinental, July-September"
iso-8859-1,/intldetails/1995ic4.html,"International Matches 1995 - Intercontinental, October-December"
iso-8859-1,/intldetails/1995matches.html,-
iso-8859-1,/intldetails/1995nca.html,International Matches 1995 - North and Central America and Caribbean
iso-8859-1,/intldetails/1995o.html,International Matches 1995 - Oceania
iso-8859-1,/intldetails/1995oth.html,International Matches 1995 - Other
iso-8859-1,/intldetails/1995sa.html,International Matches 1995 - South America
iso-8859-1,/intldetails/1996af.html,International Matches 1996 - Africa
iso-8859-1,/intldetails/1996as.html,International Matches 1996 - Asia
iso-8859-1,/intldetails/1996e1.html,"International Matches 1996 - Europe, January-February"
iso-8859-1,/intldetails/1996e2.html,"International Matches 1996 - Europe, March-April"
iso-8859-1,/intldetails/1996e3.html,"International Matches 1996 - Europe, May-June"
iso-8859-1,/intldetails/1996e4.html,"International Matches 1996 - Europe, July-September"
iso-8859-1,/intldetails/1996e5.html,"International Matches 1996 - Europe, October"
iso-8859-1,/intldetails/1996e6.html,"International Matches 1996 - Europe, November-December"
iso-8859-1,/intldetails/1996ic1.html,"International Matches 1996 - Intercontinental, January-March"
iso-8859-1,/intldetails/1996ic2.html,"International Matches 1996 - Intercontinental, April-June"
iso-8859-1,/intldetails/1996ic3.html,"International Matches 1996 - Intercontinental, July-August"
iso-8859-1,/intldetails/1996ic4.html,"International Matches 1996 - Intercontinental, September"
iso-8859-1,/intldetails/1996ic5.html,"International Matches 1996 - Intercontinental, October-December"
iso-8859-1,/intldetails/1996matches.html,-
iso-8859-1,/intldetails/1996nca.html,International Matches 1996 - North and Central America and Caribbean
iso-8859-1,/intldetails/1996o.html,International Matches 1996 - Oceania
iso-8859-1,/intldetails/1996oth.html,International Matches 1996 - Other
iso-8859-1,/intldetails/1996sa.html,International Matches 1996 - South America
iso-8859-1,/intldetails/1997af.html,International Matches 1997 - Africa
iso-8859-1,/intldetails/1997as.html,International Matches 1997 - Asia
iso-8859-1,/intldetails/1997e1.html,"International Matches 1997 - Europe, January-June"
iso-8859-1,/intldetails/1997e2.html,"International Matches 1997 - Europe, July-December"
iso-8859-1,/intldetails/1997ic.html,International Matches 1997 - Intercontinental
iso-8859-1,/intldetails/1997matches.html,-
iso-8859-1,/intldetails/1997nca.html,International Matches 1997 - North and Central America and Caribbean
iso-8859-1,/intldetails/1997o.html,International Matches 1997 - Oceania
iso-8859-1,/intldetails/1997oth.html,International Matches 1997 - Other
iso-8859-1,/intldetails/1997sa.html,International Matches 1997 - South America
iso-8859-1,/intldetails/1998af.html,International Matches 1998 - Africa
iso-8859-1,/intldetails/1998as.html,International Matches 1998 - Asia
iso-8859-1,/intldetails/1998e1.html,"International Matches 1998 - Europe, January-June"
iso-8859-1,/intldetails/1998e2.html,"International Matches 1998 - Europe, July-December"
iso-8859-1,/intldetails/1998ic.html,International Matches 1998 - Intercontinental
iso-8859-1,/intldetails/1998matches.html,-
iso-8859-1,/intldetails/1998nca.html,International Matches 1998 - North and Central America and Caribbean
iso-8859-1,/intldetails/1998o.html,International Matches 1998 - Oceania
iso-8859-1,/intldetails/1998oth.html,International Matches 1998 - Other
iso-8859-1,/intldetails/1998sa.html,International Matches 1998 - South America
iso-8859-1,/intldetails/1999af.html,International Matches 1999 - Africa
iso-8859-1,/intldetails/1999as.html,International Matches 1999 - Asia
iso-8859-1,/intldetails/1999e1.html,"International Matches 1999 - Europe, January-September"
iso-8859-1,/intldetails/1999e2.html,"International Matches 1999 - Europe, October-December"
iso-8859-1,/intldetails/1999ic.html,International Matches 1999 - Intercontinental
iso-8859-1,/intldetails/1999matches.html,-
iso-8859-1,/intldetails/1999nca.html,International Matches 1999 - North and Central America and Caribbean
iso-8859-1,/intldetails/1999o.html,International Matches 1999 - Oceania
iso-8859-1,/intldetails/1999oth.html,International Matches 1999 - Other
iso-8859-1,/intldetails/1999sa.html,International Matches 1999 - South America
iso-8859-1,/intldetails/2000af.html,International Matches 2000 - Africa
iso-8859-1,/intldetails/2000as.html,International Matches 2000 - Asia
iso-8859-1,/intldetails/2000e1.html,"International Matches 2000 - Europe, January-March"
iso-8859-1,/intldetails/2000e2.html,"International Matches 2000 - Europe, April-June"
iso-8859-1,/intldetails/2000e3.html,"International Matches 2000 - Europe, July-September"
iso-8859-1,/intldetails/2000e4.html,"International Matches 2000 - Europe, October-December"
iso-8859-1,/intldetails/2000ic1.html,"International Matches 2000 - Intercontinental, January-March"
iso-8859-1,/intldetails/2000ic2.html,"International Matches 2000 - Intercontinental, April-June"
iso-8859-1,/intldetails/2000ic3.html,"International Matches 2000 - Intercontinental, July-September"
iso-8859-1,/intldetails/2000ic4.html,"International Matches 2000 - Intercontinental, October-December"
iso-8859-1,/intldetails/2000matches.html,-
iso-8859-1,/intldetails/2000nca.html,International Matches 2000 - North and Central America and Caribbean
iso-8859-1,/intldetails/2000o.html,International Matches 2000 - Oceania
iso-8859-1,/intldetails/2000oth.html,International Matches 2000 - Other
iso-8859-1,/intldetails/2000sa.html,International Matches 2000 - South America
iso-8859-1,/intldetails/2001af.html,International Matches 2001 - Africa
iso-8859-1,/intldetails/2001as.html,International Matches 2001 - Asia
iso-8859-1,/intldetails/2001e1.html,"International Matches 2001 - Europe, January-June"
iso-8859-1,/intldetails/2001e2.html,"International Matches 2001 - Europe, July-December"
iso-8859-1,/intldetails/2001ic1.html,"International Matches 2001 - Intercontinental, January-March"
iso-8859-1,/intldetails/2001ic2.html,"International Matches 2001 - Intercontinental, April-June"
iso-8859-1,/intldetails/2001ic3.html,"International Matches 2001 - Intercontinental, July-September"
iso-8859-1,/intldetails/2001ic4.html,"International Matches 2001 - Intercontinental, October-December"
iso-8859-1,/intldetails/2001matches.html,-
iso-8859-1,/intldetails/2001nca.html,International Matches 2001 - North and Central America and Caribbean
iso-8859-1,/intldetails/2001o.html,International Matches 2001 - Oceania
iso-8859-1,/intldetails/2001oth.html,International Matches 2001 - Other
iso-8859-1,/intldetails/2001sa.html,International Matches 2001 - South America
iso-8859-1,/intldetails/2002af.html,International Matches 2002 - Africa
iso-8859-1,/intldetails/2002as.html,International Matches 2002 - Asia
iso-8859-1,/intldetails/2002e1.html,"International Matches 2002 - Europe, January-March"
iso-8859-1,/intldetails/2002e2.html,"International Matches 2002 - Europe, April-June"
iso-8859-1,/intldetails/2002e3.html,"International Matches 2002 - Europe, July-December"
iso-8859-1,/intldetails/2002ic1.html,"International Matches 2002 - Intercontinental, January-March"
iso-8859-1,/intldetails/2002ic2.html,"International Matches 2002 - Intercontinental, April-June"
iso-8859-1,/intldetails/2002ic3.html,"International Matches 2002 - Intercontinental, July-December"
iso-8859-1,/intldetails/2002matches.html,-
iso-8859-1,/intldetails/2002nca.html,International Matches 2002 - North and Central America and Caribbean
iso-8859-1,/intldetails/2002o.html,International Matches 2002 - Oceania
iso-8859-1,/intldetails/2002oth.html,International Matches 2002 - Other
iso-8859-1,/intldetails/2002sa.html,International Matches 2002 - South America
iso-8859-1,/intldetails/2003af.html,International Matches 2003 - Africa
iso-8859-1,/intldetails/2003as.html,International Matches 2003 - Asia
iso-8859-1,/intldetails/2003e1.html,"International Matches 2003 - Europe, January-June"
iso-8859-1,/intldetails/2003e2.html,"International Matches 2003 - Europe, July-December"
iso-8859-1,/intldetails/2003ic.html,International Matches 2003 - Intercontinental
iso-8859-1,/intldetails/2003matches.html,-
iso-8859-1,/intldetails/2003nca.html,International Matches 2003 - North and Central America and Caribbean
iso-8859-1,/intldetails/2003o.html,International Matches 2003 - Oceania
iso-8859-1,/intldetails/2003oth.html,International Matches 2003 - Other
iso-8859-1,/intldetails/2003sa.html,International Matches 2003 - South America
iso-8859-1,/intldetails/2004af.html,International Matches 2004 - Africa
iso-8859-1,/intldetails/2004e.html,International Matches 2004 - Europe
iso-8859-1,/intldetails/2004matches.html,-
iso-8859-1,/intldetails/2004nca.html,International Matches 2004 - North and Central America and Caribbean
iso-8859-1,/intldetails/2004o.html,International Matches 2003 - Oceania
iso-8859-1,/intldetails/2004sa.html,International Matches 2004 - South America
iso-8859-1,/intldetails/nm-contrib.html,International Matches - Historical Overview
iso-8859-1,/intldetails/nm-overview.html,International Matches - Historical Overview
iso-8859-1,/miscellaneous/arg-squad-sachamp.html,Argentine Squads in the Copa Américas
iso-8859-1,/miscellaneous/arg-squad-wc.html,Argentine Squads in the World Cups
iso-8859-1,/miscellaneous/brzcallt.html,Brazilian Clubs All-Time Team<
iso-8859-1,/miscellaneous/cl-rejects.html,UEFA Champions League Rejects in the UEFA Cup
iso-8859-1,/miscellaneous/ecfaq-uefa1.html,UEFA - www.uefa.com - News UEFA
iso-8859-1,/miscellaneous/ecfaq-uefa2.html,UEFA - www.uefa.com - News UEFA
iso-8859-1,/miscellaneous/fifa-xi.html,Matches of FIFA XI
iso-8859-1,/miscellaneous/isra-intlp-armeli.html,Zahi Armeli International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-awat.html,Dudu Awat International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-badir.html,Walid Badir International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-banin.html,Tal Banin International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-bar.html,Haim Bar International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-barda.html,Elyaniv Barda International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-bello.html,Menahem "Miko" Bello International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-benado.html,Arik Benado International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-berkovich.html,Eyal Berkovich International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-cohen_avi.html,Avi Cohen International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-damti.html,Gidi Damti International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-davidovich.html,Nir Davidovich International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-feigenbaum.html,Yehoshua Feigenbaum International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-gershon.html,Shimon Gershon International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-ginzburg.html,Boni Ginzburg International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-glazer.html,Yehoshua Glazer International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-harazi_alon.html,Alon Harazi International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-harazi_ronen.html,Ronen Harazi International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-hazan.html,Alon Hazan International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-hodorov.html,Yaacov Hodorov International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-index.html,Israel National Team - Biographical Data of Selected Players
iso-8859-1,/miscellaneous/isra-intlp-keisy.html,Adoram Keisy International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-klinger.html,Nir Klinger International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-levi_rafi.html,Rafi Levi International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-malmilian.html,Uri Malmilian International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-mizrahi.html,Alon Mizrahi International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-nimni.html,Avi Nimni International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-ohana.html,Eli Ohana International Games and Goals
iso-8859-1,/miscellaneous/isra-intlp-peretz.html,Viki Peretz International Games and Goals
